id,person_id,service,day,time,mins,status
c-p88924ce2,p88924ce2,Essay workshop,2026-09-09,11:30,60,done
c-p46b78d33,p46b78d33,College shortlisting,2026-09-09,12:15,30,done
c-p24c2a927,p24c2a927,SOP review,2026-09-09,13:00,45,done
c-pc773ae97,pc773ae97,Pathway consult,2026-09-08,13:40,60,done
c-ravi,ravi,Pathway consult,2026-09-08,14:00,30,done
c-p6e435801,p6e435801,Essay workshop,2026-09-08,14:45,45,done
c-p8e7f7db6,p8e7f7db6,Essay workshop,2026-09-08,15:15,60,done
c-p11435c17,p11435c17,Parent consult,2026-09-08,16:00,30,done
c-p70915418,p70915418,Pathway consult,2026-09-07,16:45,45,done
c-pd9723eb6,pd9723eb6,SOP review,2026-09-07,17:30,60,done
c-p7d94a0b8,p7d94a0b8,Visa readiness,2026-09-07,18:00,30,done
c-pd74fefb0,pd74fefb0,Parent consult,2026-09-07,18:45,45,done
c-p67b05b30,p67b05b30,Essay workshop,2026-09-06,19:30,60,done
c-p81d1a7d8,p81d1a7d8,Parent consult,2026-09-06,10:00,30,done
c-pe6de1504,pe6de1504,Parent consult,2026-09-06,10:45,45,done
c-pd2489bf9,pd2489bf9,College shortlisting,2026-09-05,11:30,60,done
c-p4e46f5b2,p4e46f5b2,Visa readiness,2026-09-05,12:15,30,done
c-peda519a0,peda519a0,Visa readiness,2026-09-05,13:00,45,done
c-p70d0af6e,p70d0af6e,Pathway consult,2026-09-22,13:40,60,done
c-p8f5d0a91,p8f5d0a91,Pathway consult,2026-09-21,14:00,30,done
c-p401bb7cc,p401bb7cc,Applications,2026-09-20,14:45,45,done
c-pf990a184,pf990a184,Parent consult,2026-09-19,15:15,60,done
c-pa16457ac,pa16457ac,Essay workshop,2026-09-18,16:00,30,done
c-p586c40a5,p586c40a5,SOP review,2026-09-17,16:45,45,done
c-meera,meera,SOP review,2026-09-16,17:30,60,done
c-pc724f5ce,pc724f5ce,SOP review,2026-09-15,18:00,30,done
c-p1bed3e02,p1bed3e02,Essay workshop,2026-09-14,18:45,45,done
c-p9bb72e41,p9bb72e41,Applications,2026-09-13,19:30,60,done
c-p15982c72,p15982c72,Parent consult,2026-09-12,10:00,30,done
c-pfa9ae4c6,pfa9ae4c6,Pathway consult,2026-09-11,10:45,45,done
c-p2ed51c57,p2ed51c57,SOP review,2026-09-10,11:30,60,done
c-p9051c19e,p9051c19e,Visa readiness,2026-09-09,12:15,30,done
c-pee4d241f,pee4d241f,Pathway consult,2026-09-08,13:00,45,done
c-pb3e1a384,pb3e1a384,Essay workshop,2026-09-07,13:40,60,done
c-p85ede5f6,p85ede5f6,SOP review,2026-09-06,14:00,30,done
c-p80ea866a,p80ea866a,Parent consult,2026-09-05,14:45,45,done
c-p9809226d,p9809226d,Pathway consult,2026-09-04,15:15,60,done
c-pe19a0eef,pe19a0eef,SOP review,2026-09-03,16:00,30,done
c-p7d941751,p7d941751,Visa readiness,2026-09-02,16:45,45,done
c-pc0806cf1,pc0806cf1,SOP review,2026-09-01,17:30,60,done
c-p3ff4014a,p3ff4014a,Parent consult,2026-08-31,18:00,30,done
c-p77f7cc8a,p77f7cc8a,Pathway consult,2026-08-30,18:45,45,done
c-p41f44a6e,p41f44a6e,College shortlisting,2026-08-29,19:30,60,done
c-pdc369e2f,pdc369e2f,Pathway consult,2026-08-29,10:00,30,done
c-p1ed58b32,p1ed58b32,SOP review,2026-08-28,10:45,45,done
c-p91b2fe2b,p91b2fe2b,Visa readiness,2026-08-28,11:30,60,done
c-p6cf2bb91,p6cf2bb91,Pathway consult,2026-08-28,12:15,30,done
c-p1a46524b,p1a46524b,Visa readiness,2026-08-27,13:00,45,done
c-p42d4a5ad,p42d4a5ad,College shortlisting,2026-08-26,13:40,60,done
c-p8b3bfcbd,p8b3bfcbd,Parent consult,2026-08-26,14:00,30,done
c-pd28f8c6d,pd28f8c6d,College shortlisting,2026-08-26,14:45,45,done
c-p0de666ad,p0de666ad,College shortlisting,2026-08-25,15:15,60,done
c-p8e5aa9bd,p8e5aa9bd,College shortlisting,2026-08-24,16:00,30,done
c-p1cfe10d1,p1cfe10d1,Pathway consult,2026-08-23,16:45,45,done
c-p0ace65cc,p0ace65cc,Pathway consult,2026-08-23,17:30,60,done
c-p720f3387,p720f3387,Applications,2026-08-23,18:00,30,done
c-p5979d875,p5979d875,Parent consult,2026-08-23,18:45,45,done
c-pd724f7e7,pd724f7e7,College shortlisting,2026-08-22,19:30,60,done
c-p752f535e,p752f535e,Pathway consult,2026-09-22,10:00,30,done
c-p834c38e0,p834c38e0,Visa readiness,2026-09-21,10:45,45,done
c-p957306f4,p957306f4,Pathway consult,2026-09-20,11:30,60,done
c-p657b4a31,p657b4a31,Essay workshop,2026-09-19,12:15,30,done
c-pce140c21,pce140c21,Applications,2026-09-18,13:00,45,done
c-p23056710,p23056710,Parent consult,2026-09-17,13:40,60,done
c-p2733553a,p2733553a,Pathway consult,2026-09-16,14:00,30,done
c-p64ead05b,p64ead05b,SOP review,2026-09-15,14:45,45,done
c-pb4113ce7,pb4113ce7,Visa readiness,2026-09-14,15:15,60,done
c-p629a4c8b,p629a4c8b,Pathway consult,2026-09-13,16:00,30,done
c-pa9856d98,pa9856d98,Essay workshop,2026-09-12,16:45,45,done
c-p0952019a,p0952019a,Applications,2026-09-11,17:30,60,done
c-rohan,rohan,Visa readiness,2026-09-10,18:00,30,done
c-pf5cf3583,pf5cf3583,College shortlisting,2026-09-09,18:45,45,done
c-p363a77c9,p363a77c9,Visa readiness,2026-09-08,19:30,60,done
c-p7430ef89,p7430ef89,Visa readiness,2026-09-07,10:00,30,done
c-p2853750c,p2853750c,Pathway consult,2026-09-06,10:45,45,done
c-p202e8d62,p202e8d62,SOP review,2026-09-05,11:30,60,done
c-p958037ff,p958037ff,Applications,2026-09-04,12:15,30,done
c-pffc096fe,pffc096fe,Parent consult,2026-09-03,13:00,45,done
c-p709f17ec,p709f17ec,SOP review,2026-09-02,13:40,60,done
c-pbd568281,pbd568281,SOP review,2026-09-01,14:00,30,done
c-pcafa803e,pcafa803e,Visa readiness,2026-08-31,14:45,45,done
c-pc01a0c8d,pc01a0c8d,College shortlisting,2026-08-30,15:15,60,done
c-p0b487b70,p0b487b70,Visa readiness,2026-08-29,16:00,30,done
c-p05656c1e,p05656c1e,Pathway consult,2026-08-28,16:45,45,done
c-pba82f920,pba82f920,Parent consult,2026-08-27,17:30,60,done
c-pfa28a0ec,pfa28a0ec,Essay workshop,2026-08-26,18:00,30,done
c-pee15cbfa,pee15cbfa,SOP review,2026-08-25,18:45,45,done
c-pfe2cb5a3,pfe2cb5a3,Visa readiness,2026-08-24,19:30,60,done
c-p9b493e15,p9b493e15,College shortlisting,2026-08-23,10:00,30,done
c-pe54d7ffd,pe54d7ffd,Essay workshop,2026-08-22,10:45,45,done
c-p78194bca,p78194bca,Applications,2026-08-21,11:30,60,done
c-p371a588f,p371a588f,Parent consult,2026-08-20,12:15,30,done
c-p403d46a9,p403d46a9,College shortlisting,2026-08-19,13:00,45,done
c-p469ad4f9,p469ad4f9,Visa readiness,2026-08-18,13:40,60,done
c-pda7d5db7,pda7d5db7,Visa readiness,2026-08-17,14:00,30,done
c-pb7d83896,pb7d83896,Pathway consult,2026-08-16,14:45,45,done
c-p717901ee,p717901ee,Essay workshop,2026-08-15,15:15,60,done
c-pd401accb,pd401accb,Essay workshop,2026-08-14,16:00,30,done
c-p56f3f7cf,p56f3f7cf,Pathway consult,2026-09-22,16:45,45,done
c-p25b72e6d,p25b72e6d,College shortlisting,2026-09-21,17:30,60,done
c-pd29b92f1,pd29b92f1,SOP review,2026-09-20,18:00,30,done
c-p09ebde1a,p09ebde1a,Visa readiness,2026-09-19,18:45,45,done
c-pbbdc9758,pbbdc9758,Pathway consult,2026-09-18,19:30,60,done
c-p4da68559,p4da68559,Parent consult,2026-09-17,10:00,30,done
c-p8156ced0,p8156ced0,Applications,2026-09-16,10:45,45,done
c-pe6398d1e,pe6398d1e,Parent consult,2026-09-15,11:30,60,done
c-p502c0062,p502c0062,Pathway consult,2026-09-14,12:15,30,done
c-ped29dab0,ped29dab0,SOP review,2026-09-13,13:00,45,done
c-pa55c9728,pa55c9728,Visa readiness,2026-09-12,13:40,60,done
c-p2b8ca32f,p2b8ca32f,Pathway consult,2026-09-11,14:00,30,done
c-p3d05c26c,p3d05c26c,Essay workshop,2026-09-10,14:45,45,done
c-p390d15ac,p390d15ac,Applications,2026-09-09,15:15,60,done
c-p4b2be8f5,p4b2be8f5,Parent consult,2026-09-08,16:00,30,done
c-p337ca26f,p337ca26f,College shortlisting,2026-09-07,16:45,45,done
c-p0345be28,p0345be28,SOP review,2026-09-06,17:30,60,done
c-p2d20a353,p2d20a353,Visa readiness,2026-09-05,18:00,30,done
c-p4dadd7c1,p4dadd7c1,Pathway consult,2026-09-04,18:45,45,done
c-pb5fb6ede,pb5fb6ede,Essay workshop,2026-09-03,19:30,60,done
c-pa887b3c1,pa887b3c1,Applications,2026-09-02,10:00,30,done
c-pb1f62faf,pb1f62faf,SOP review,2026-09-01,10:45,45,done
c-pd4d5ec7c,pd4d5ec7c,College shortlisting,2026-08-31,11:30,60,done
c-p041854b2,p041854b2,SOP review,2026-08-30,12:15,30,done
c-p1cb88c82,p1cb88c82,Visa readiness,2026-08-29,13:00,45,done
c-p26b9bac8,p26b9bac8,Pathway consult,2026-08-28,13:40,60,done
c-pe715294e,pe715294e,Pathway consult,2026-08-27,14:00,30,done
c-pc5344db5,pc5344db5,Applications,2026-08-26,14:45,45,done
c-pb136cfe1,pb136cfe1,Parent consult,2026-08-25,15:15,60,done
c-pe370b4e2,pe370b4e2,College shortlisting,2026-08-24,16:00,30,done
c-peb642662,peb642662,SOP review,2026-08-23,16:45,45,done
c-p6d0727f4,p6d0727f4,Visa readiness,2026-08-22,17:30,60,done
c-pb78aa123,pb78aa123,Parent consult,2026-08-21,18:00,30,done
c-p6fcc8bcd,p6fcc8bcd,College shortlisting,2026-08-20,18:45,45,done
c-p9b0c63fd,p9b0c63fd,Applications,2026-08-19,19:30,60,done
c-p3623063c,p3623063c,Pathway consult,2026-08-18,10:00,30,done
c-pc49cef5f,pc49cef5f,Parent consult,2026-08-17,10:45,45,done
c-pef8b9a35,pef8b9a35,SOP review,2026-08-16,11:30,60,done
c-p15bcb671,p15bcb671,Visa readiness,2026-08-15,12:15,30,done
c-p1ad9fd15,p1ad9fd15,Pathway consult,2026-08-14,13:00,45,done
c-p042b7f0f,p042b7f0f,Essay workshop,2026-09-22,13:40,60,done
c-pc4199743,pc4199743,Parent consult,2026-09-21,14:00,30,done
c-p1feed169,p1feed169,Essay workshop,2026-09-20,14:45,45,done
c-pc0fd4fa1,pc0fd4fa1,College shortlisting,2026-09-19,15:15,60,done
c-pa8c5e407,pa8c5e407,Essay workshop,2026-09-18,16:00,30,done
c-p77e86d60,p77e86d60,Visa readiness,2026-09-17,16:45,45,done
c-pfc1ccff2,pfc1ccff2,College shortlisting,2026-09-16,17:30,60,done
c-p35f9b8c2,p35f9b8c2,Essay workshop,2026-09-15,18:00,30,done
c-p9cc9c231,p9cc9c231,SOP review,2026-09-14,18:45,45,done
c-p973b00fa,p973b00fa,Parent consult,2026-09-13,19:30,60,done
c-p3655522f,p3655522f,College shortlisting,2026-09-12,10:00,30,done
c-pc67883ac,pc67883ac,SOP review,2026-09-11,10:45,45,done
c-p5e447b84,p5e447b84,Visa readiness,2026-09-10,11:30,60,done
c-pbaff50b3,pbaff50b3,Pathway consult,2026-09-09,12:15,30,done
c-p2e0295e6,p2e0295e6,Essay workshop,2026-09-08,13:00,45,done
c-p0ea82a87,p0ea82a87,SOP review,2026-09-07,13:40,60,done
c-jia,jia,Parent consult,2026-09-06,14:00,30,done
c-pe9e21a24,pe9e21a24,Visa readiness,2026-09-05,14:45,45,done
c-p8b1a36d5,p8b1a36d5,SOP review,2026-09-04,15:15,60,done
c-pd8a9d0fd,pd8a9d0fd,Pathway consult,2026-09-03,16:00,30,done
c-p56fc3905,p56fc3905,Pathway consult,2026-09-02,16:45,45,done
c-pb2d15a13,pb2d15a13,Parent consult,2026-09-01,17:30,60,done
c-p539aaf9a,p539aaf9a,College shortlisting,2026-08-31,18:00,30,done
c-p3094bd32,p3094bd32,Parent consult,2026-08-30,18:45,45,done
c-pe37491dd,pe37491dd,College shortlisting,2026-08-29,19:30,60,done
c-p77e63c9d,p77e63c9d,SOP review,2026-08-28,10:00,30,done
c-p24c26449,p24c26449,Visa readiness,2026-08-27,10:45,45,done
c-pcec5d40f,pcec5d40f,Pathway consult,2026-08-26,11:30,60,done
c-p7b6c4c76,p7b6c4c76,Parent consult,2026-08-25,12:15,30,done
c-tanvi,tanvi,Essay workshop,2026-08-24,13:00,45,done
c-ananya,ananya,Pathway consult,2026-08-23,13:40,60,done
